FirstName,LastName,Canton,Avatar URL,PartyAbbreviation,Mandate Start,Council Abbreviation
Martine,Docourt,NE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10829.jpg,SP,2023-12-04T00:00:00,NR_CH
Mathias,Zopfi,GL,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3199.jpg,Grüne,2023-12-04T00:00:00,SR_CH
Mathilde,Crevoisier Crelier,JU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3227.jpg,SP,2023-12-04T00:00:00,SR_CH
Mattea,Meyer,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3087.jpg,SP,2023-12-04T00:00:00,NR_CH
Matthias,Michel,ZG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3205.jpg,FDP,2023-12-04T00:00:00,SR_CH
Matthias Samuel,Jauslin,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3109.jpg,GLP,2025-01-09T00:00:00,NR_CH
Mauro,Tuena,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3097.jpg,SVP,2023-12-04T00:00:00,NR_CH
Mauro,Poggia,GE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10839.jpg,MCG,2023-12-05T00:00:00,SR_CH
Maya,Graf,BL,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2569.jpg,Grüne,2023-12-04T00:00:00,SR_CH
Maya,Bally,AG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/11508.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Meret,Schneider,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3181.jpg,Grüne,2024-12-02T00:00:00,NR_CH
Michael,Töngi,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3122.jpg,Grüne,2023-12-04T00:00:00,NR_CH
Michael,Graber,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3216.jpg,SVP,2023-12-04T00:00:00,NR_CH
Michael,Götte,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3230.jpg,SVP,2023-12-04T00:00:00,NR_CH
Michaël,Buffat,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3062.jpg,SVP,2023-12-04T00:00:00,NR_CH
Mike,Egger,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3130.jpg,SVP,2023-12-04T00:00:00,NR_CH
Min Li,Marti,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3084.jpg,SP,2023-12-04T00:00:00,NR_CH
Monika,Rüegger,OW,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3177.jpg,SVP,2023-12-04T00:00:00,NR_CH
